Ticker,Volatility,Mean_Return,Target_MDD,Target_TTR,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Utilities,Crisis_Type_Dot-Com Bubble,Crisis_Type_Global Financial Crisis
ADI,4.235734486174803,0.07758452515396874,-0.8195807547502576,9999,False,False,False,False,False,False,False,False,True,False,True,False
ADI,2.272759184080721,0.035467151478423956,-0.5650075381645324,702,False,False,False,False,False,False,False,False,True,False,False,True
ADM,1.866506893738999,0.07222818803438956,-0.359484216847724,162,False,False,True,False,False,False,False,False,False,False,False,False
ADM,1.8287399176215156,0.08184174126276446,-0.3381343459107064,66,False,False,True,False,False,False,False,False,False,False,True,False
ADM,2.6395969327267412,0.025924944615790327,-0.6800591888856639,9999,False,False,True,False,False,False,False,False,False,False,False,True
ADP,1.8891844763035828,0.05776596473690578,-0.3945118178695821,269,False,False,False,False,False,False,False,False,True,False,False,False
ADP,2.0722336624285935,0.013338284391978514,-0.5942451951083514,9999,False,False,False,False,False,False,False,False,True,False,True,False
ADP,1.684798685688249,0.03795705547165116,-0.3568216832848636,737,False,False,False,False,False,False,False,False,True,False,False,True
ADSK,2.6298085097215615,0.062106155697261384,-0.5199403896552834,9999,False,False,False,False,False,False,False,False,True,False,False,False
ADSK,3.2190710668794495,0.17965494764339374,-0.635572816790285,1291,False,False,False,False,False,False,False,False,True,False,True,False
ADSK,2.9878083694053412,0.016131973588809065,-0.7692006363309549,9999,False,False,False,False,False,False,False,False,True,False,False,True
AEE,1.7690892683329857,0.0215318034599385,-0.29086279863149905,393,False,False,False,False,False,False,False,False,False,True,False,False
AEE,1.2898645836779143,0.06778443205883125,-0.17788321761879516,20,False,False,False,False,False,False,False,False,False,True,True,False
AEE,1.8177338364440954,0.005072670947128075,-0.6056807771571824,9999,False,False,False,False,False,False,False,False,False,True,False,True
AEP,1.6484983385085838,0.013773898783390639,-0.3290520105866699,735,False,False,False,False,False,False,False,False,False,True,False,False
AEP,2.168418219371648,0.05403785288500558,-0.6275199105419018,9999,False,False,False,False,False,False,False,False,False,True,True,False
AEP,1.7081696284102001,0.023856353173176036,-0.48010320913061894,1017,False,False,False,False,False,False,False,False,False,True,False,True
AES,2.570890754391478,0.04229119114735823,-0.5656044687164256,9999,False,False,False,False,False,False,False,False,False,True,False,False
AES,5.3142691988309965,0.07058808053263213,-0.986548675463994,9999,False,False,False,False,False,False,False,False,False,True,True,False
AES,3.3531662233537833,0.00844894352508053,-0.782068435875717,9999,False,False,False,False,False,False,False,False,False,True,False,True
AFL,2.171716736745837,0.07755377980036635,-0.5244346172142968,359,False,False,False,False,True,False,False,False,False,False,False,False
AFL,2.0810840224399856,0.07315927026585381,-0.36629801310681454,766,False,False,False,False,True,False,False,False,False,False,True,False
AFL,3.885093196825,0.06844139732570706,-0.8270634603879331,9999,False,False,False,False,True,False,False,False,False,False,False,True
AIG,2.7616666825815313,0.07747024620495016,-0.6508707434109404,418,False,False,False,False,True,False,False,False,False,False,False,False
AIG,2.009789056905572,0.021045914852411206,-0.5686620769020028,9999,False,False,False,False,True,False,False,False,False,False,True,False
AIG,7.153989621192516,-0.07982620121264002,-0.9948885669159346,9999,False,False,False,False,True,False,False,False,False,False,False,True
AIZ,2.0896409365553574,0.053313921095032794,-0.44634815349032325,9999,False,False,False,False,True,False,False,False,False,False,False,False
AIZ,3.206050069564005,0.03925579359560898,-0.8162370712065699,9999,False,False,False,False,True,False,False,False,False,False,False,True
AJG,1.7421073953671047,0.10608687409753778,-0.3722027547052116,200,False,False,False,False,True,False,False,False,False,False,False,False
AJG,2.2883524118147367,0.09574866862980506,-0.41230898830931,9999,False,False,False,False,True,False,False,False,False,False,True,False
AJG,1.9608120083414622,0.053894303771339476,-0.4791738709663505,570,False,False,False,False,True,False,False,False,False,False,False,True
AKAM,1.8797226173016488,0.04815795146635789,-0.41970143485434375,9999,False,False,False,False,False,False,False,False,True,False,False,False
AKAM,7.143339643869441,-0.003988423748582904,-0.9977364864301037,9999,False,False,False,False,False,False,False,False,True,False,True,False
AKAM,3.5727632015243325,0.057461503192799905,-0.7699356187192234,543,False,False,False,False,False,False,False,False,True,False,False,True
ALB,3.308541631181799,0.12921445387600744,-0.6493303492981617,9999,False,False,False,False,False,False,False,False,False,False,False,False
ALB,2.067483975253369,0.0924610314199086,-0.30921067505978267,475,False,False,False,False,False,False,False,False,False,False,True,False
ALB,2.9737965633813976,0.07325256404560061,-0.6630520778981277,420,False,False,False,False,False,False,False,False,False,False,False,True
ALGN,3.6364193734703116,0.06280996984988582,-0.7608230957933053,9999,False,False,False,False,False,True,False,False,False,False,False,False
ALGN,3.8546953420166155,0.06352961861071135,-0.8257839767566647,9999,False,False,False,False,False,True,False,False,False,False,False,True
ALL,1.9616549727579904,0.05131820841211297,-0.41394017679159234,389,False,False,False,False,True,False,False,False,False,False,False,False
ALL,1.9732882862595191,0.09453217371970195,-0.3061386377307799,746,False,False,False,False,True,False,False,False,False,False,True,False
ALL,3.1228063690101258,0.0018301987554822136,-0.7476703345697093,9999,False,False,False,False,True,False,False,False,False,False,False,True
ALLE,2.0754611129212814,0.02935306885233455,-0.4325011330025012,396,False,False,False,False,False,False,True,False,False,False,False,False
AMAT,3.009068121762669,0.14646875222036937,-0.5513918117058177,435,False,False,False,False,False,False,False,False,True,False,False,False
AMAT,4.049832936168859,0.03552180430127646,-0.8198041639207749,9999,False,False,False,False,False,False,False,False,True,False,True,False
AMAT,2.6136176773571904,-0.023871964874047292,-0.6379865896888413,9999,False,False,False,False,False,False,False,False,True,False,False,True
AMCR,1.9646184135978797,0.028138149923493602,-0.45365476744933875,81,False,True,False,False,False,False,False,False,False,False,False,False
AMD,3.374835771524679,0.16725030616370415,-0.654499429550688,9999,False,False,False,False,False,False,False,False,True,False,False,False
AMD,4.816975547251584,0.14868760420348226,-0.9326315779435007,9999,False,False,False,False,False,False,False,False,True,False,True,False
AMD,4.126115204836293,0.0029966562241859483,-0.8762886646927684,9999,False,False,False,False,False,False,False,False,True,False,False,True
AME,1.8457449838494995,0.0687892952008261,-0.4271945878920416,148,False,False,False,False,False,False,True,False,False,False,False,False
AME,2.091954916613917,0.13209812352531672,-0.3494085932501918,308,False,False,False,False,False,False,True,False,False,False,True,False
AME,2.2817216197950256,0.0701667049428237,-0.533109383803623,603,False,False,False,False,False,False,True,False,False,False,False,True
AMGN,1.658394615570662,0.04470083871501708,-0.24859949360101266,132,False,False,False,False,False,True,False,False,False,False,False,False
AMGN,2.827985537291013,0.047852178786239846,-0.6016665792452912,9999,False,False,False,False,False,True,False,False,False,False,True,False
AMGN,1.9381564637150819,0.03940040817954704,-0.3153741437931607,9999,False,False,False,False,False,True,False,False,False,False,False,True
AMP,2.7012765197293716,0.1260211688617888,-0.5388381973490427,231,False,False,False,False,True,False,False,False,False,False,False,False
AMP,3.9440236937089637,0.06913870859820831,-0.8114468486260223,802,False,False,False,False,True,False,False,False,False,False,False,True
AMT,2.0109540770094263,0.02419242129843985,-0.45344213313001874,9999,False,False,False,False,False,False,False,True,False,False,False,False
AMT,5.166910960499122,0.096107942046805,-0.9870467492034035,9999,False,False,False,False,False,False,False,True,False,False,True,False
AMT,2.3747403536707052,0.061588198963216184,-0.5653862940468588,594,False,False,False,False,False,False,False,True,False,False,False,True
AMZN,2.3749540342185043,0.07626518096492385,-0.5614526325328263,9999,False,True,False,False,False,False,False,False,False,False,False,False
AMZN,5.056181189301715,0.07698991539201254,-0.9290868577417513,9999,False,True,False,False,False,False,False,False,False,False,True,False
AMZN,3.055945969651579,0.11569456545569934,-0.6525490876953781,337,False,True,False,False,False,False,False,False,False,False,False,True
ANET,2.723063405899925,0.19056917967802325,-0.38422772797622773,265,False,False,False,False,False,False,False,False,True,False,False,False
AON,1.8003226664577496,0.05292980033621298,-0.3872719368750413,380,False,False,False,False,True,False,False,False,False,False,False,False
AON,2.7321425696294632,0.011887575624950873,-0.6643287541525804,9999,False,False,False,False,True,False,False,False,False,False,True,False
AON,1.838534372875654,0.032017447583348096,-0.30316107522071595,830,False,False,False,False,True,False,False,False,False,False,False,True
AOS,1.9920945310319707,0.08235817907021356,-0.42684149215461653,9999,False,False,False,False,False,False,True,False,False,False,False,False
AOS,2.3969110977082586,0.06593536991256482,-0.4765228337540305,489,False,False,False,False,False,False,True,False,False,False,True,False
AOS,2.687686235283048,0.06014030335871123,-0.5574751150823773,358,False,False,False,False,False,False,True,False,False,False,False,True
APA,4.7899835864016245,0.16308757802871682,-0.879398648453405,653,False,False,False,True,False,False,False,False,False,False,False,False
